id;name;email
2fe1b0a3-c1b5-409c-8dbb-5568d77f7a2b;bluetooth Soft;"4^>@i'b"
e694e283-5a97-4cc2-b36e-70a5cd92a3f2;Supervisor;"qj*@@1a{Pl"
493ae1c7-19fe-4830-9a1b-955901a202a4;Fantastic Plastic Table silver contextually-based;"\@tR/LWK"
0bd41089-ec4d-4b78-b6ec-625ed0de754f;deposit overriding;".-(p@J"
2860958b-a42d-4f3b-8933-afd950534e82;Pass Personal Loan Account;"j9G@@R?'"
e0c4d443-ad53-4821-8534-794b0c44faa9;Quality bluetooth;"'@EPU@U^9="
a6d0119e-71e9-46c9-a84b-9c92b4b4466c;Wall Fresh users;"1d-@s3i9"
968c53e4-52a1-4d5d-8c0a-d00e90acc83f;deposit Consultant;"p@/pN"
2fafe031-9c06-4340-b55c-5043d2137f61;transition;"&w@_m{e"
58d8a79e-3d17-46a7-830c-2666b883248e;Security bluetooth Senior;"ju!9@O"
